id,prediction,perplexities,true_answer,most_likely
0,E D C,[2.351684  2.3621006 2.3790963],E,E
1,B C E,[1.9465175 2.030211  2.0305433],B,B
2,D E C,[1.8595648 1.911027  1.9218498],D,D
3,B C E,[1.5149401 1.5388305 1.5392834],B,B
4,B E D,[2.395553 2.414002 2.423038],A,B
5,B C D,[2.2802558 2.3325071 2.3527524],B,B
6,D E C,[1.9463626 1.9608102 1.969693 ],A,D
7,C B E,[2.3379636 2.365895  2.3732235],C,C
8,C E B,[1.97351   2.0102286 2.0239787],C,C
9,B C A,[2.0325644 2.0662742 2.0746653],D,B
10,E C B,[1.9933387 2.0163255 2.0206823],C,E
11,C B E,[2.4096122 2.4479496 2.4627693],C,C
12,E B A,[2.8798761 2.9217005 2.9382725],E,E
13,B C E,[2.6626852 2.6696851 2.67931  ],B,B
14,E C B,[2.2045403 2.2233431 2.227183 ],E,E
15,E D B,[2.4024706 2.4427414 2.4609437],C,E
16,D B E,[2.0227757 2.069171  2.0694451],A,D
17,C E B,[2.0730624 2.1076713 2.1227121],E,C
18,B C A,[2.4919436 2.5011253 2.5146563],A,B
19,C E B,[1.8057431 1.865639  1.8664836],C,C
20,A B C,[2.4767678 2.4769151 2.4862018],A,A
21,C B E,[1.6661777 1.6871908 1.694195 ],E,C
22,B C A,[1.4107091 1.4144933 1.4269445],B,B
23,A B C,[1.6765622 1.6825567 1.6880599],A,A
24,B E C,[1.9190669 1.9309471 1.9374037],B,B
25,E D C,[2.5294745 2.5744123 2.5834517],C,E
26,B C D,[2.8041523 2.8056214 2.8122985],A,B
27,B C E,[2.0303042 2.0615542 2.0779173],B,B
28,A B C,[1.9222293 1.951376  1.955132 ],A,A
29,C B A,[2.0873756 2.1142397 2.1280828],A,C
30,A C B,[1.6229706 1.6377943 1.6389962],A,A
31,A B C,[2.8819237 2.9112575 2.9242291],A,A
32,A B C,[2.1074522 2.1509788 2.172503 ],A,A
33,D E C,[2.5522408 2.5808637 2.5955207],D,D
34,C B D,[1.8812417 1.8997189 1.9096395],B,C
35,B E C,[2.422994  2.4579446 2.467676 ],D,B
36,A B D,[2.7503326 2.7510118 2.761338 ],B,A
37,C B E,[2.3103833 2.3618634 2.3858767],B,C
38,E D C,[2.127383  2.143008  2.1575913],E,E
39,A C E,[1.7618697 1.7804894 1.7825729],A,A
40,E B D,[2.7174232 2.7488964 2.7562625],E,E
41,E B D,[2.4300165 2.465846  2.4688094],A,E
42,C E B,[1.9244397 1.9590379 1.9637812],B,C
43,B C A,[2.8275511 2.83038   2.8516622],A,B
44,C B D,[2.7240002 2.7241535 2.7295148],A,C
45,A B C,[1.4407867 1.4512931 1.4553341],A,A
46,B C E,[2.4378407 2.440474  2.4632971],B,B
47,A C B,[1.5540056 1.5813779 1.5869664],A,A
48,B C E,[2.5262504 2.529341  2.551319 ],B,B
49,B C E,[1.9351895 1.9749622 1.9843727],D,B
