id,prediction,perplexities,true_answer,most_likely
0,E C D,[2.3917775 2.4244318 2.4251513],E,E
1,B E C,[1.9639031 2.0494108 2.0727208],B,B
2,D E C,[1.925176  1.9739354 2.0155244],D,D
3,B E C,[1.5279729 1.5507526 1.561956 ],B,B
4,B C E,[2.4416516 2.4468758 2.4514077],A,B
5,B C A,[2.263712  2.3437805 2.3583171],B,B
6,D E C,[1.99865   2.0226686 2.052949 ],A,D
7,C E B,[2.3851783 2.394571  2.4363513],C,C
8,E C D,[1.9509578 1.9587942 2.0212193],C,E
9,B A C,[2.0738988 2.0889983 2.1346586],D,B
10,E B C,[1.991987  2.0951562 2.1000993],C,E
11,C E B,[2.460697  2.5178957 2.5554821],C,C
12,E B C,[2.9233925 3.0222073 3.0332232],E,E
13,C B E,[2.6942194 2.7059665 2.7093887],B,C
14,E A B,[2.2868924 2.3152316 2.3214452],E,E
15,E B D,[2.4394994 2.4851112 2.4882922],C,E
16,D E C,[2.1301832 2.187938  2.2035913],A,D
17,E C B,[2.0960279 2.118861  2.177947 ],E,E
18,C E B,[2.5201104 2.5409298 2.546952 ],A,C
19,C E A,[1.8340712 1.8911715 1.9235995],C,C
20,A C B,[2.54221   2.5453486 2.55742  ],A,A
21,C E B,[1.688486  1.7135211 1.733448 ],E,C
22,A C B,[1.4309978 1.4399941 1.4482344],B,A
23,A E B,[1.709556  1.758925  1.7670827],A,A
24,E B C,[1.9410875 1.9739362 1.9839231],B,E
25,E C A,[2.6128337 2.6952486 2.7007005],C,E
26,C E B,[2.7933185 2.805503  2.8228948],A,C
27,B C E,[2.1089985 2.1507332 2.173578 ],B,B
28,A C B,[2.01164   2.0811105 2.087905 ],A,A
29,C E B,[2.100316  2.1448765 2.1510293],A,C
30,A E C,[1.6627939 1.7155365 1.7185358],A,A
31,A B C,[2.8870378 2.9530363 2.9613562],A,A
32,A B C,[2.2088046 2.3029418 2.3167164],A,A
33,D E C,[2.6029956 2.6428916 2.6719544],D,D
34,C B A,[1.9574873 1.9806916 1.9850012],B,C
35,B E C,[2.4433224 2.4599717 2.494037 ],D,B
36,A C B,[2.7520447 2.7841392 2.787915 ],B,A
37,C E B,[2.3515823 2.417751  2.451987 ],B,C
38,E C B,[2.1072443 2.2049704 2.2059424],E,E
39,A B E,[1.7866269 1.8705553 1.8738366],A,A
40,E B D,[2.7711322 2.8356292 2.8419514],E,E
41,E B A,[2.4786105 2.5286782 2.53021  ],A,E
42,C E B,[1.9420391 1.9807941 2.0234523],B,C
43,A B C,[2.8161871 2.8708556 2.8786323],A,A
44,C B E,[2.709888  2.7275293 2.7307389],A,C
45,A E B,[1.4684664 1.5057955 1.51952  ],A,A
46,C B E,[2.4767642 2.531287  2.540418 ],B,C
47,A E C,[1.5840983 1.6618038 1.6654031],A,A
48,C B E,[2.5541856 2.6125093 2.6141222],B,C
49,B C E,[2.0139391 2.0542657 2.0830412],D,B
