id,prediction,perplexities,true_answer,most_likely
0,E D C,[2.3811193 2.3902605 2.395033 ],E,E
1,B E C,[1.9398271 2.0486178 2.0537205],B,B
2,D E C,[1.8623786 1.924721  1.9351094],D,D
3,B C E,[1.5252825 1.5530307 1.5554038],B,B
4,B D C,[2.4300215 2.4360595 2.4555411],A,B
5,B C A,[2.298259  2.3822982 2.3894782],B,B
6,A D C,[1.9968412 2.0046566 2.032458 ],A,A
7,C E B,[2.3151803 2.3517818 2.3877356],C,C
8,C E B,[1.9242831 1.9718822 1.9972688],C,C
9,B C A,[2.1022875 2.1558065 2.178391 ],D,B
10,E C B,[1.9289714 2.0112627 2.0163367],C,E
11,C E B,[2.4320204 2.505487  2.5133905],C,C
12,E C B,[2.8773892 2.9632967 2.9669578],E,E
13,C B E,[2.742709  2.763672  2.7743158],B,C
14,E C A,[2.2312162 2.2421653 2.2461598],E,E
15,E B D,[2.3971796 2.4314065 2.4439843],C,E
16,D E C,[2.2334318 2.2951531 2.30083  ],A,D
17,E C B,[2.0985801 2.107683  2.1396687],E,E
18,B C E,[2.442964  2.4536183 2.4754028],A,B
19,C E B,[1.822807  1.8965201 1.910222 ],C,C
20,A B C,[2.4295487 2.4624348 2.4767096],A,A
21,C A B,[1.643985  1.659345  1.6700811],E,C
22,A C B,[1.4178255 1.4246584 1.4256723],B,A
23,A B E,[1.7122653 1.762693  1.7678398],A,A
24,B E C,[1.942358  1.9423791 1.9561672],B,B
25,E C B,[2.6030924 2.6648202 2.668647 ],C,E
26,C B A,[2.7900567 2.7979345 2.7985024],A,C
27,B A C,[2.0365298 2.0824542 2.0874512],B,B
28,A B C,[2.0500174 2.1321795 2.1396835],A,A
29,A C B,[2.0914476 2.14505   2.164293 ],A,A
30,A B C,[1.6476411 1.7070032 1.7103662],A,A
31,A B C,[2.9028358 2.9044888 2.9305992],A,A
32,A B C,[2.1297412 2.2104669 2.2332532],A,A
33,D E C,[2.593743  2.640519  2.6553617],D,D
34,C B E,[1.9287616 1.9547371 1.9626532],B,C
35,B E C,[2.3868184 2.422152  2.430169 ],D,B
36,A B C,[2.8125882 2.834662  2.8434434],B,A
37,C B E,[2.3020916 2.372577  2.3901963],B,C
38,E C B,[2.0965228 2.1684275 2.1823726],E,E
39,A B C,[1.7886739 1.8732723 1.8776622],A,A
40,E B C,[2.7768238 2.8330386 2.840672 ],E,E
41,E B C,[2.4116666 2.4530706 2.460823 ],A,E
42,C E B,[1.8838872 1.9340137 1.9560858],B,C
43,C B A,[2.7877164 2.81166   2.8156397],A,C
44,C B E,[2.6854687 2.69755   2.7176704],A,C
45,A B D,[1.4375026 1.4853529 1.4880602],A,A
46,C B E,[2.5577962 2.566497  2.6005762],B,C
47,A C B,[1.5707084 1.6453688 1.6479839],A,A
48,C B E,[2.6432889 2.650395  2.6882582],B,C
49,B C E,[1.9808525 2.0252535 2.0578516],D,B
